Date,Open,High,Low,Close,Volume
09/10/2018,2882.51,2894.83,2874.27,2880.34,3520.50
10/10/2018,2873.90,2874.02,2784.86,2785.68,4501.25
11/10/2018,2776.87,2795.14,2710.51,2728.37,4890.63
12/10/2018,2770.54,2775.77,2729.44,2767.13,3966.04
15/10/2018,2763.83,2775.99,2749.03,2750.79,3300.14
16/10/2018,2767.05,2813.46,2766.91,2809.92,3428.34
17/10/2018,2811.67,2816.94,2781.81,2809.21,3321.71
18/10/2018,2802.00,2806.04,2755.18,2768.78,3616.44
19/10/2018,2775.66,2797.77,2760.27,2767.78,3566.49
22/10/2018,2773.94,2778.94,2749.22,2755.88,3307.14
23/10/2018,2721.03,2753.59,2691.43,2740.69,4348.58
24/10/2018,2737.87,2742.59,2651.89,2656.10,4709.31
25/10/2018,2674.88,2722.70,2667.84,2705.57,4634.77
26/10/2018,2667.86,2692.38,2628.16,2658.69,4803.15
29/10/2018,2682.65,2706.85,2603.54,2641.25,4673.70
30/10/2018,2640.68,2685.43,2635.34,2682.63,5106.38
31/10/2018,2705.60,2736.69,2705.60,2711.74,5112.42
01/11/2018,2717.58,2741.67,2708.85,2740.37,4708.42
02/11/2018,2745.45,2756.55,2700.44,2723.06,4237.93
05/11/2018,2726.37,2744.27,2717.94,2738.31,3623.32
06/11/2018,2738.40,2756.82,2737.08,2755.45,3510.86
07/11/2018,2774.13,2815.15,2774.13,2813.89,3914.75
08/11/2018,2806.38,2814.75,2794.99,2806.83,3630.49
09/11/2018,2794.10,2794.10,2764.24,2781.01,4019.09
12/11/2018,2773.93,2775.99,2722.00,2726.22,3670.93
13/11/2018,2730.05,2754.60,2714.98,2722.18,4091.44
14/11/2018,2737.90,2746.80,2685.75,2701.58,4402.37
15/11/2018,2693.52,2735.38,2670.75,2730.20,4179.14
16/11/2018,2718.54,2746.75,2712.16,2736.27,3975.18
19/11/2018,2730.74,2733.16,2681.09,2690.73,3772.90
20/11/2018,2654.60,2669.44,2631.52,2641.89,4357.90
21/11/2018,2657.74,2670.73,2649.82,2649.93,3233.55
23/11/2018,2633.36,2647.55,2631.09,2632.56,1651.65
26/11/2018,2649.97,2674.35,2649.97,2673.45,3443.95
27/11/2018,2663.75,2682.53,2655.89,2682.17,3485.22
28/11/2018,2691.45,2744.00,2684.38,2743.79,3951.67
29/11/2018,2736.97,2753.75,2722.94,2737.80,3560.77
30/11/2018,2737.76,2760.88,2732.76,2760.17,4658.58
03/12/2018,2790.50,2800.18,2773.38,2790.37,4186.06
04/12/2018,2782.43,2785.93,2697.18,2700.06,4499.84
06/12/2018,2663.51,2696.15,2621.53,2695.95,5141.47
07/12/2018,2691.26,2708.54,2623.14,2633.08,4216.69
10/12/2018,2630.86,2647.51,2583.23,2637.72,4151.03
11/12/2018,2664.44,2674.35,2621.30,2636.78,3905.87
12/12/2018,2658.23,2685.44,2650.26,2651.07,3958.89
13/12/2018,2658.70,2670.19,2637.27,2650.54,3927.72
14/12/2018,2629.68,2635.07,2593.84,2599.95,4035.02
17/12/2018,2590.75,2601.13,2530.54,2545.94,4616.35
18/12/2018,2559.90,2573.99,2528.71,2546.16,4470.88
19/12/2018,2547.05,2585.29,2488.96,2506.96,5127.94
20/12/2018,2496.77,2509.63,2441.18,2467.42,5585.78
21/12/2018,2465.38,2504.41,2408.55,2416.62,7609.01
24/12/2018,2400.56,2410.34,2351.10,2351.10,2613.93
26/12/2018,2363.12,2467.76,2346.58,2467.70,4233.99
27/12/2018,2442.50,2489.10,2397.94,2488.83,4096.61
28/12/2018,2498.77,2520.27,2472.89,2485.74,3702.62
31/12/2018,2498.94,2509.24,2482.82,2506.85,3442.87
02/01/2019,2476.96,2519.49,2467.47,2510.03,3733.16
03/01/2019,2491.92,2493.14,2443.96,2447.89,3822.86
04/01/2019,2474.33,2538.07,2474.33,2531.94,4213.41
07/01/2019,2535.61,2566.16,2524.56,2549.69,4104.71
08/01/2019,2568.11,2579.82,2547.56,2574.41,4083.03
09/01/2019,2580.00,2595.32,2568.89,2584.96,4052.48
10/01/2019,2573.51,2597.82,2562.02,2596.64,3704.50
11/01/2019,2588.11,2596.27,2577.40,2596.26,3434.49
14/01/2019,2580.31,2589.32,2570.41,2582.61,3664.45
15/01/2019,2585.10,2613.08,2585.10,2610.30,3572.33
16/01/2019,2614.75,2625.76,2612.68,2616.10,3863.77
17/01/2019,2609.28,2645.06,2606.36,2635.96,3772.27
18/01/2019,2651.27,2675.47,2647.58,2670.71,3986.73
22/01/2019,2657.88,2657.88,2617.27,2632.90,3908.03
23/01/2019,2643.48,2653.19,2612.86,2638.70,3335.61
24/01/2019,2638.84,2647.20,2627.01,2642.33,3433.25
25/01/2019,2657.44,2672.38,2657.33,2664.76,3814.08
28/01/2019,2644.97,2644.97,2624.06,2643.85,3612.81
29/01/2019,2644.89,2650.93,2631.05,2640.00,3504.20
30/01/2019,2653.62,2690.44,2648.34,2681.05,3867.81
31/01/2019,2685.49,2708.95,2678.65,2704.10,4917.65
01/02/2019,2702.32,2716.66,2696.88,2706.53,3759.27
04/02/2019,2706.49,2724.99,2698.75,2724.87,3359.84
05/02/2019,2728.34,2738.98,2724.03,2737.70,3560.43
06/02/2019,2735.05,2738.08,2724.15,2731.61,3472.69
07/02/2019,2717.53,2719.32,2687.26,2706.05,4099.49
08/02/2019,2692.36,2708.07,2681.83,2707.88,3622.33
11/02/2019,2712.40,2718.05,2703.79,2709.80,3361.97
12/02/2019,2722.61,2748.19,2722.61,2744.73,3827.77
13/02/2019,2750.30,2761.85,2748.63,2753.03,3670.77
14/02/2019,2743.50,2757.90,2731.23,2745.73,3836.70
15/02/2019,2760.24,2775.66,2760.24,2775.60,3641.37
19/02/2019,2769.28,2787.33,2767.29,2779.76,3533.71
20/02/2019,2779.05,2789.88,2774.06,2784.70,3835.45
21/02/2019,2780.24,2781.58,2764.55,2774.88,3559.71
22/02/2019,2780.67,2794.20,2779.11,2792.67,3427.81
25/02/2019,2804.35,2813.49,2794.99,2796.11,3804.38
26/02/2019,2792.36,2803.12,2789.47,2793.90,3645.68
27/02/2019,2787.50,2795.76,2775.13,2792.38,3767.13
28/02/2019,2788.11,2793.73,2782.51,2784.49,4396.93
01/03/2019,2798.22,2808.02,2787.38,2803.69,3972.28
04/03/2019,2814.37,2816.88,2767.66,2792.81,3919.81
05/03/2019,2794.41,2796.44,2782.97,2789.65,3585.69
06/03/2019,2790.27,2790.27,2768.69,2771.45,3786.60
07/03/2019,2766.53,2767.25,2739.09,2748.93,3904.86
08/03/2019,2730.79,2744.13,2722.27,2743.07,3423.13
11/03/2019,2747.61,2784.00,2747.61,2783.30,3749.03
12/03/2019,2787.34,2798.32,2786.73,2791.52,3414.23
13/03/2019,2799.78,2821.24,2799.78,2810.92,3766.15
14/03/2019,2810.38,2815.00,2803.46,2808.48,3469.73
15/03/2019,2810.79,2830.73,2810.79,2822.48,5962.73
18/03/2019,2822.61,2835.41,2821.99,2832.94,3552.19
19/03/2019,2840.76,2852.42,2823.27,2832.57,3620.22
20/03/2019,2831.34,2843.54,2812.43,2824.23,3771.20
21/03/2019,2819.72,2860.31,2817.38,2854.88,3546.80
22/03/2019,2844.52,2846.16,2800.47,2800.71,4237.20
25/03/2019,2796.01,2809.79,2785.02,2798.36,3376.58
26/03/2019,2812.66,2829.87,2803.99,2818.46,3266.05
27/03/2019,2819.72,2825.56,2787.72,2805.37,3372.93
28/03/2019,2809.40,2819.71,2798.77,2815.44,3158.17
29/03/2019,2828.27,2836.03,2819.23,2834.40,3740.70
01/04/2019,2848.63,2869.40,2848.63,2867.19,3500.76
02/04/2019,2868.24,2872.90,2858.75,2867.24,3246.90
03/04/2019,2876.09,2885.25,2865.17,2873.40,3550.24
04/04/2019,2873.99,2881.28,2867.14,2879.39,3015.18
05/04/2019,2884.16,2893.24,2882.99,2892.74,3146.82
08/04/2019,2888.46,2895.95,2880.78,2895.77,3054.03
